City_Name,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity,Country,Date
albany,42.6001,-73.9662,51.87,1.01,100,43,US,1651937059
ust-kuyga,70.0167,135.6,-3.26,5.59,15,97,RU,1651937513
boshnyakovo,49.6333,142.1667,33.94,7.11,100,96,RU,1651937513
isangel,-19.55,169.2667,69.91,3.44,16,88,VU,1651937378
sarakhs,36.5449,61.1577,89.67,16.91,52,25,IR,1651937514
saskylakh,71.9167,114.0833,11.17,12.66,79,90,RU,1651937050
sitka,57.0531,-135.33,39.09,0.0,20,87,US,1651937160
bolobo,-2.1667,16.2333,75.94,3.18,100,86,CD,1651937514
kaitangata,-46.2817,169.8464,55.02,3.51,100,81,NZ,1651937077
sinnamary,5.3833,-52.95,81.73,9.08,57,80,GF,1651937173
hobart,-42.8794,147.3294,50.9,14.97,49,79,AU,1651936831
kahului,20.8947,-156.47,75.09,23.02,100,73,US,1651937075
saint-joseph,-21.3667,55.6167,73.78,13.85,32,78,RE,1651937515
uruzgan,32.8333,66.0,77.63,7.92,57,20,AF,1651937515
carnarvon,-24.8667,113.6333,64.47,0.0,40,72,AU,1651937158
hue,16.4667,107.6,78.91,2.3,40,89,VN,1651937516
vaini,-21.2,-175.2,71.76,0.0,75,94,TO,1651937051
tasiilaq,65.6145,-37.6368,32.16,5.59,100,65,GL,1651937084
busselton,-33.65,115.3333,59.43,4.99,52,69,AU,1651937057
lebu,-37.6167,-73.65,57.67,6.11,10,67,CL,1651937078
rauma,61.1272,21.5113,46.44,9.86,57,65,FI,1651937517
chapais,49.7834,-74.8492,38.98,5.39,16,51,CA,1651937142
hambantota,6.1241,81.1185,82.74,4.61,75,83,LK,1651937101
sochaczew,52.2294,20.2384,67.35,4.18,83,60,PL,1651937517
bluff,-46.6,168.3333,57.25,11.18,88,77,NZ,1651937043
clacton-on-sea,51.7897,1.156,57.11,3.0,70,89,GB,1651937518
kapaa,22.0752,-159.319,74.28,19.57,75,81,US,1651937059
bengkulu,-3.8004,102.2655,78.21,12.17,100,88,ID,1651937062
upernavik,72.7868,-56.1549,17.89,5.57,1,64,GL,1651937071
haradok,55.4624,29.9816,62.24,5.08,89,83,BY,1651937519
qaanaaq,77.484,-69.3632,17.94,4.05,99,75,GL,1651937049
rikitea,-23.1203,-134.9692,77.32,7.83,47,82,PF,1651937060
khandbari,27.3747,87.2039,70.41,2.93,98,81,NP,1651937519
bredasdorp,-34.5322,20.0403,60.08,8.9,16,59,ZA,1651937072
punta arenas,-53.15,-70.9167,51.53,23.02,75,66,CL,1651936880
codrington,-38.2667,141.9667,52.59,10.0,52,86,AU,1651937228
abu samrah,35.3029,37.1841,63.43,19.13,18,42,SY,1651937520
hermanus,-34.4187,19.2345,58.8,9.82,34,58,ZA,1651937074
panaba,21.2833,-88.2667,93.81,9.95,43,43,MX,1651937521
narsipatnam,17.6667,82.6167,84.24,0.83,79,67,IN,1651937521
lata,40.1629,-8.3327,82.49,6.53,100,35,PT,1651937085
natal,-5.795,-35.2094,84.42,12.66,40,74,BR,1651937270
georgetown,5.4112,100.3354,82.45,4.61,20,89,MY,1651936817
kandalaksha,67.162,32.4123,41.85,6.31,100,83,RU,1651937522
